Date,Confirmed,Recovered,Deceased
2020-01-30,,,
2020-01-31,0.0,,0.0
2020-02-01,0.0,,0.0
2020-02-02,1.0,,0.0
2020-02-03,1.0,,0.0
2020-02-04,0.0,,0.0
2020-02-05,0.0,,0.0
2020-02-06,0.0,,0.0
2020-02-07,0.0,,0.0
2020-02-08,0.0,,0.0
2020-02-09,0.0,,0.0
2020-02-10,0.0,,0.0
2020-02-11,0.0,,0.0
2020-02-12,0.0,,0.0
2020-02-13,0.0,,0.0
2020-02-14,0.0,,0.0
2020-02-15,0.0,,0.0
2020-02-16,0.0,,0.0
2020-02-17,0.0,,0.0
2020-02-18,0.0,,0.0
2020-02-19,0.0,,0.0
2020-02-20,0.0,,0.0
2020-02-21,0.0,,0.0
2020-02-22,0.0,,0.0
2020-02-23,0.0,,0.0
2020-02-24,0.0,,0.0
2020-02-25,0.0,,0.0
2020-02-26,0.0,,0.0
2020-02-27,0.0,,0.0
2020-02-28,0.0,,0.0
2020-02-29,0.0,,0.0
2020-03-01,0.0,,0.0
2020-03-02,0.0,,0.0
2020-03-03,0.0,,0.0
2020-03-04,0.0,,0.0
2020-03-05,0.0,,0.0
2020-03-06,0.0,,0.0
2020-03-07,0.0,,0.0
2020-03-08,0.0,,0.0
2020-03-09,6.0,,0.0
2020-03-10,8.0,,0.0
2020-03-11,0.0,,0.0
2020-03-12,2.0,,0.0
2020-03-13,3.0,,0.0
2020-03-14,0.0,,0.0
2020-03-15,2.0,,0.0
2020-03-16,3.0,,0.0
2020-03-17,0.0,,0.0
2020-03-18,0.0,,0.0
2020-03-19,1.0,,0.0
2020-03-20,12.0,,0.0
2020-03-21,12.0,,0.0
2020-03-22,15.0,,0.0
2020-03-23,28.0,,0.0
2020-03-24,14.0,,0.0
2020-03-25,9.0,,0.0
2020-03-26,19.0,,0.0
2020-03-27,39.0,3.0,0.0
2020-03-28,6.0,8.0,1.0
2020-03-29,20.0,4.0,0.0
2020-03-30,32.0,0.0,0.0
2020-03-31,7.0,4.0,1.0
2020-04-01,24.0,2.0,0.0
2020-04-02,21.0,2.0,0.0
2020-04-03,9.0,14.0,0.0
2020-04-04,11.0,8.0,0.0
2020-04-05,8.0,6.0,0.0
2020-04-06,13.0,3.0,0.0
2020-04-07,8.0,12.0,0.0
2020-04-08,9.0,13.0,0.0
2020-04-09,12.0,13.0,0.0
2020-04-10,7.0,27.0,0.0
2020-04-11,10.0,19.0,0.0
2020-04-12,2.0,36.0,0.0
2020-04-13,3.0,19.0,0.0
2020-04-14,8.0,13.0,0.0
2020-04-15,1.0,7.0,0.0
2020-04-16,7.0,27.0,0.0
2020-04-17,1.0,10.0,0.0
2020-04-18,4.0,2.0,0.0
2020-04-19,2.0,13.0,0.0
2020-04-20,6.0,21.0,0.0
2020-04-21,19.0,16.0,0.0
2020-04-22,11.0,1.0,0.0
2020-04-23,10.0,8.0,0.0
2020-04-24,3.0,15.0,1.0
2020-04-25,7.0,7.0,0.0
2020-04-26,11.0,4.0,0.0
2020-04-27,13.0,13.0,0.0
2020-04-28,4.0,4.0,0.0
2020-04-29,10.0,10.0,0.0
2020-04-30,2.0,14.0,0.0
2020-05-01,0.0,9.0,0.0
2020-05-02,2.0,8.0,0.0
2020-05-03,0.0,1.0,0.0
2020-05-04,0.0,61.0,0.0
2020-05-05,3.0,0.0,0.0
2020-05-06,0.0,7.0,0.0
2020-05-07,0.0,5.0,0.0
2020-05-08,1.0,10.0,0.0
2020-05-09,2.0,1.0,0.0
2020-05-10,7.0,4.0,0.0
2020-05-11,7.0,0.0,0.0
2020-05-12,5.0,0.0,0.0
2020-05-13,10.0,1.0,0.0
2020-05-14,26.0,3.0,0.0
2020-05-15,16.0,0.0,0.0
2020-05-16,11.0,4.0,0.0
2020-05-17,14.0,0.0,0.0
2020-05-18,29.0,0.0,0.0
2020-05-19,12.0,0.0,0.0
2020-05-20,24.0,5.0,0.0
2020-05-21,24.0,8.0,0.0
2020-05-22,42.0,2.0,1.0
2020-05-23,62.0,3.0,0.0
2020-05-24,53.0,5.0,1.0
2020-05-25,49.0,12.0,1.0
2020-05-26,67.0,10.0,0.0
2020-05-27,40.0,10.0,0.0
2020-05-28,85.0,3.0,1.0
2020-05-29,62.0,10.0,1.0
2020-05-30,58.0,10.0,1.0
2020-05-31,61.0,15.0,1.0
2020-06-01,57.0,18.0,0.0
2020-06-02,86.0,19.0,1.0
2020-06-03,82.0,24.0,0.0
2020-06-04,94.0,39.0,3.0
2020-06-05,111.0,22.0,0.0
2020-06-06,108.0,50.0,1.0
2020-06-07,107.0,41.0,0.0
2020-06-08,91.0,11.0,1.0
2020-06-09,91.0,34.0,0.0
2020-06-10,65.0,57.0,1.0
2020-06-11,83.0,62.0,1.0
2020-06-12,78.0,32.0,1.0
2020-06-13,85.0,46.0,0.0
2020-06-14,54.0,56.0,0.0
2020-06-15,82.0,73.0,1.0
2020-06-16,79.0,60.0,0.0
2020-06-17,75.0,90.0,0.0
2020-06-18,97.0,89.0,1.0
2020-06-19,118.0,96.0,0.0
2020-06-20,127.0,57.0,0.0
2020-06-21,133.0,93.0,0.0
2020-06-22,138.0,88.0,0.0
2020-06-23,141.0,60.0,1.0
2020-06-24,152.0,81.0,0.0
2020-06-25,123.0,53.0,0.0
2020-06-26,150.0,65.0,0.0
2020-06-27,195.0,102.0,0.0
2020-06-28,118.0,42.0,0.0
2020-06-29,122.0,79.0,1.0
2020-06-30,131.0,75.0,1.0
2020-07-01,151.0,132.0,1.0
2020-07-02,160.0,202.0,0.0
2020-07-03,211.0,201.0,0.0
2020-07-04,240.0,209.0,0.0
2020-07-05,225.0,126.0,0.0
2020-07-06,193.0,167.0,2.0
2020-07-07,272.0,113.0,0.0
2020-07-08,301.0,105.0,0.0
2020-07-09,339.0,149.0,0.0
2020-07-10,416.0,112.0,0.0
2020-07-11,488.0,143.0,2.0
2020-07-12,435.0,132.0,2.0
2020-07-13,449.0,162.0,2.0
2020-07-14,608.0,181.0,1.0
2020-07-15,623.0,196.0,1.0
2020-07-16,722.0,228.0,2.0
2020-07-17,791.0,133.0,1.0
